threshold,n_samples,true_positive,false_positive,true_negative,false_negative,precision,recall,specificity,false_positive_rate,f1,accuracy,predicted_positive_rate,average_precision,roc_auc,brier_score,expected_calibration_error,simulated_cost,simulated_cost_per_10000
0.19,47030,562,0,26970,19498,1.0,0.028015952143569292,1.0,0.0,0.05450489768208709,0.585413565809058,0.011949819264299383,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,487450.0,103646.60854773548
0.2,47030,539,0,26970,19521,1.0,0.026869391824526422,1.0,0.0,0.05233263750667508,0.584924516266213,0.01146076972145439,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,488025.0,103768.87093344674
0.21,47030,475,0,26970,19585,1.0,0.023678963110667996,1.0,0.0,0.046262478694911124,0.5835636827556878,0.010099936210929195,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,489625.0,104109.07931107804
0.22,47030,427,0,26970,19633,1.0,0.021286141575274177,1.0,0.0,0.04168497095719237,0.582543057622794,0.009079311078035297,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,490825.0,104364.23559430151
0.23,47030,372,0,26970,19688,1.0,0.018544366899302094,1.0,0.0,0.03641346906812842,0.5813735913246864,0.007909844779927705,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,492200.0,104656.60216882841
0.24,47030,359,0,26970,19701,1.0,0.017896311066799602,1.0,0.0,0.0351633282726872,0.5810971720178609,0.007633425473102275,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,492525.0,104725.70699553475
0.25,47030,336,0,26970,19724,1.0,0.01674975074775673,1.0,0.0,0.03294763679152775,0.5806081224750159,0.007144375930257282,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,493100.0,104847.96938124602
0.26,47030,324,0,26970,19736,1.0,0.016151545363908275,1.0,0.0,0.031789638932496075,0.5803529661917924,0.006889219647033808,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,493400.0,104911.75845205187
0.27,47030,306,0,26970,19754,1.0,0.015254237288135594,1.0,0.0,0.03005008347245409,0.5799702317669573,0.0065064852221985965,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,493850.0,105007.44205826068
0.28,47030,303,0,26970,19757,1.0,0.01510468594217348,1.0,0.0,0.02975985856700879,0.5799064426961514,0.006442696151392728,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,493925.0,105023.38932596215
0.29,47030,277,0,26970,19783,1.0,0.013808574277168495,1.0,0.0,0.027240989329792988,0.5793536040825006,0.005889857537741867,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,494575.0,105161.59897937486
0.3,47030,263,0,26970,19797,1.0,0.013110667996011963,1.0,0.0,0.02588200560940806,0.5790559217520731,0.00559217520731448,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,494925.0,105236.01956198171
0.31,47030,240,0,26970,19820,1.0,0.011964107676969093,1.0,0.0,0.023645320197044337,0.5785668722092282,0.005103125664469487,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,495500.0,105358.28194769296
0.32,47030,229,0,26970,19831,1.0,0.011415752741774676,1.0,0.0,0.022573808467642564,0.5783329789496067,0.00486923240484797,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,495775.0,105416.75526259834
0.33,47030,227,0,26970,19833,1.0,0.0113160518444666,1.0,0.0,0.022378863311480257,0.5782904529024028,0.004826706357644057,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,495825.0,105427.38677439932
0.34,47030,220,0,26970,19840,1.0,0.010967098703888335,1.0,0.0,0.021696252465483234,0.578141611737189,0.004677865192430364,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496000.0,105464.59706570275
0.35,47030,211,0,26970,19849,1.0,0.010518444666001993,1.0,0.0,0.02081791722164669,0.5779502445247714,0.0044864979800127575,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496225.0,105512.43886880715
0.35000000000000003,47030,208,0,26970,19852,1.0,0.01036889332003988,1.0,0.0,0.0205249654627985,0.5778864554539656,0.0044227089092068895,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496300.0,105528.3861365086
